transect,old_tag,new_tag,species,status93,status13,status22,diam93,rad1993,cross1993,basal_area_1993,diam13,rad2013,cross2013,basal_area_2013,diam22,rad2022,cross2022,basal_area_2022
E,25B,,Dicksonia squarrosa,,A,A,,0,0,0,7.9,3.95,0.490166994,5.446299931,8.5,4.25,0.567450173,6.305001923
E,26B,A8552?,Dicksonia squarrosa,A,A,A,12.1,6.05,1.149901451,12.77668279,12.1,6.05,1.149901451,12.77668279,14.1,7.05,1.561450089,17.34944543
E,31A,A8538,Dicksonia squarrosa,A,A,A,10.6,5.3,0.882473376,9.805259738,10.6,5.3,0.882473376,9.805259738,12.8,6.4,1.286796351,14.29773723
E,31A,,Dicksonia squarrosa,,A,D,,0,0,0,10,5,0.785398163,8.72664626,,0,0,0
E,36D,,Dicksonia squarrosa,A,D,D,8.5,4.25,0.567450173,6.305001923,,0,0,0,,0,0,0
D,37D,,Dicksonia squarrosa,A,D,D,20.4,10.2,3.268512997,36.31681108,,0,0,0,,0,0,0
F,46A,,Dicksonia squarrosa,A,D,D,12,6,1.130973355,12.56637061,,0,0,0,,0,0,0
C,50B,,Dicksonia squarrosa,A,D,D,8,4,0.502654825,5.585053606,,0,0,0,,0,0,0
C,51B,,Dicksonia squarrosa,A,D,D,7,3.5,0.3848451,4.276056667,7,3.5,0.3848451,4.276056667,7.2,3.6,0.407150408,4.523893421
F,53A,A8582,Dicksonia squarrosa,A,D,D,9.4,4.7,0.693977817,7.710864635,,0,0,0,,0,0,0
F,53B,A8584,Dicksonia squarrosa,A,D,D,9,4.5,0.636172512,7.068583471,,0,0,0,,0,0,0
F,54A,,Dicksonia squarrosa,,,A,,0,0,0,,0,0,0,8.8,4.4,0.608212338,6.757914864
D,55A,A8501,Dicksonia squarrosa,A,D,D,17.4,8.7,2.37787148,26.42079422,,0,0,0,,0,0,0
D,55D,,Dicksonia squarrosa,A,D,D,17,8.5,2.269800692,25.22000769,,0,0,0,,0,0,0
A,56H,,Dicksonia squarrosa,A,A,A,10,5,0.785398163,8.72664626,11,5.5,0.950331778,10.55924197,11.4,5.7,1.020703453,11.34114948
D,58C,,Dicksonia squarrosa,A,D,D,16,8,2.010619298,22.34021443,,0,0,0,,0,0,0
E,Unknown,A8509,Dicksonia squarrosa,A,D,D,14.5,7.25,1.651299639,18.34777376,,0,0,0,,0,0,0
E,24E,A8664,Geniostoma ligustrifolium,A,A,A,,0,0,0,5.7,2.85,0.255175863,2.83528737,5.5,2.75,0.237582944,2.639810494
A,54,A8353,Knightia excelsa,,A,A,,0,0,0,31.5,15.75,7.793113276,86.59014751,33.3,16.65,8.709201694,96.76890771
A,64,A8601,Knightia excelsa,,,A,,0,0,0,,0,0,0,14.3,7.15,1.606060704,17.84511894
A,Unknown,Unknown,Knightia excelsa,,,A,,0,0,0,0,0,0,0,8.1,4.05,0.515299735,5.725552611
D,28,A8717,Kunzea robusta,A,A,A,9,4.5,0.636172512,7.068583471,10.2,5.1,0.817128249,9.079202769,9.8,4.9,0.754296396,8.381071068
B,53A,,Kunzea robusta,A,D,D,5.3,2.65,0.220618344,2.451314934,,0,0,0,,0,0,0
D,58A,A8643,Kunzea robusta,A,D,D,5.9,2.95,0.273397101,3.037745563,,0,0,0,,0,0,0
D,58A,,Kunzea robusta,A,D,D,6.6,3.3,0.34211944,3.801327111,,0,0,0,,0,0,0
C,Unknown,A8660,Kunzea robusta,A,D,D,6.9,3.45,0.373928066,4.154756284,,0,0,0,,0,0,0
C,Unknown,A8672,Kunzea robusta,A,D,D,6.5,3.25,0.331830724,3.687008045,,0,0,0,,0,0,0
A,56D,,Leptospermum scoparium,A,D,D,8.5,4.25,0.567450173,6.305001923,,0,0,0,,0,0,0
A,76A,,Leptospermum scoparium,A,D,D,5.5,2.75,0.237582944,2.639810494,,0,0,0,,0,0,0
A,81A,,Leptospermum scoparium,A,D,D,6.2,3.1,0.301907054,3.354522822,,0,0,0,,0,0,0
A,92C?,,Leucopogon fasciculatus,A,A,A,6,3,0.282743339,3.141592654,5.9,2.95,0.273397101,3.037745563,5.9,2.95,0.273397101,3.037745563
D,19,A8695,Lophomyrtus bullata,,A,A,,0,0,0,5.2,2.6,0.212371663,2.359685149,5.2,2.6,0.212371663,2.359685149
E,34B,,Olearia rani,,A,A,,0,0,0,20.9,10.45,3.430697718,38.11886353,21.1,10.55,3.496671163,38.85190181
E,46D,,Olearia rani,A,D,D,15.55,7.775,1.899112394,21.10124882,,0,0,0,,0,0,0
E,49C,,Olearia rani,A,D,D,21.5,10.75,3.63050301,40.33892234,,0,0,0,,0,0,0
